patch,p_cov_perc
S_001_01,75
S_001_02,85
S_001_03,85
S_002_01,95
S_002_02,100
S_002_03,100
S_003_01,100
S_003_02,100
S_003_03,100
S_004_01,95
S_004_02,100
S_004_03,80
S_005_01,70
S_005_02,70
S_005_03,80
S_006_01,95
S_006_02,100
S_006_03,85
S_007_01,100
S_007_02,100
S_007_03,65
S_008_01,100
S_008_02,95
S_008_03,90
S_009_01,95
S_009_02,60
S_009_03,65
S_010_01,100
S_011_01,100
S_012_01,100
S_013_01,85
S_013_02,90
S_014_01,95
S_015_01,80
S_016_01,85
S_017_01,95
S_018_01,70
S_018_02,80
S_021_01,100
S_022_01,100
S_023_01,100
S_024_01,85
S_025_01,75
S_026_01,100
S_027_01,90
S_027_02,100
S_028_01,60
S_029_01,100
S_029_02,100
S_030_01,90
S_030_02,95
S_031_01,100
S_032_01,100
S_032_02,95
S_033_01,70
S_034_01,80
S_035_01,100
