spec,S_046_01,S_046_02,S_047_01,S_047_02,S_048_01,S_048_02
Bromopsis inermis (Leyss.) Holub,5,,10,,,
Elytrigia repens (L.) Nevski,,,,,,7
Festuca valesiaca Gaudin,65,50,60,45,45,45
Koeleria cristata (L.) Pers.,,7,5,5,10,
Poa angustifolia L.,,,15,,,
Stipa capillata L.,5,,,,,9
Stipa lessingiana Trin. & Rupr.,15,10,7,,,15
Stipa zalesskii Wilensky,10,,,,,
Convolvulus arvensis L.,,1,5,,,
Plantago lanceolata L.,,,5,,,
Plantago urvillei Opiz,7,,2,,,
Pseudolysimachion barrelieri (Schott) Holub,,,,,2,7
Veronica sclerophylla Dubovik,2,5,10,,,
Linum austriacum L.,,,,,,5
Linum czernjajevii Klokov,,,,,,40
Hypericum perforatum L.,4,4,2,8,,
Galium ruthenicum Willd.,6,30,7,,4,6
Euphorbia stepposa Zoz ex Prokh.,,,,,,4
Eryngium campestre L.,10,5,1,6,,
Falcaria vulgaris Bernh.,6,,5,,,3
Pulsatilla bohemica (Scalický) Tzvelev,,,,,8,15
Odontites luteus (L.) Clairv.,3,,1,,,
Linaria maeotica Klokov,,,2,,,1
Otites wolgensis (Hornem.) Grossh.,,,,,2,
Gypsophila paniculata L.,,,,,,5
Amygdalus nana L.,,,,,9,10
Filipendula vulgaris Moench,,,,,,5
Fragaria campestris Steven,15,5,,,,
Potentilla astracanica Jacq.,,,,,15,
Potentilla callieri (Th. Wolf) Juz.,,2,8,2,,8
Potentilla humifusa Willd. ex Schlecht.,,,,5,,
Potentilla neglecta Baumg.,,7,,4,,
Dianthus elongatus C.A. Mey.,,,,,,4
Phlomoides tuberosa (L.) Moench,,,,,,2
Salvia nutans L.,10,,,,,4
Stachys transsilvanica Schur,,,,,,2
Teucrium polium L.,13,,,,,
Thymus dimorphus Klokov & Des.-Shost.,,,,12,15,20
Thymus marschallianus Willd.,30,7,,5,,
Astragalus austriacus Jacq.,,6,,,3,
Astragalus ucrainicus M. Pop. & Klokov,,,,7,,
Medicago romanica Prodán,,11,,,,8
Securigera varia (L.) Lassen,,,,,,5
Achillea nobilis L.,,,,,,6
Artemisia austriaca Jacq.,7,17,12,,,
Centaurea orientalis L.,,,,,,3
Helichrysum arenarium (L.) Moench,,,,,12,
Galatella dracunculoides (Lam.) Ness,,,2,,,
Galatella villosa (L.) Rchb. f.,,,,,,10
Jurinea granitica Klokov,,,,,2,
Pilosella echioides (Lumn.) F. Schult. & Sch. Bip.,,,3,,5,
Scabiosa ochroleuca L.,,,,,4,7
Tanacetum millefolium (L.) Tzvelev,,8,35,14,,
Allium inaequale Janka,,2,3,,,
