plot,full,package,confidence
C_001_01,159.365,35.368,1
C_001_02,189.433,34.504,1
C_001_03,223.658,33.994,1
C_002_01,340.825,36.946,1
C_002_02,175.346,35.976,1
C_002_03,239.012,34.562,1
C_003_01,371.51,35.011,1
C_003_02,369.082,36.058,1
C_003_03,383.313,36.707,1
C_004_01,281.799,35.007,1
C_004_02,325.153,34.443,1
C_004_03,218.147,36.806,1
C_005_01,239.013,34.380,1
C_005_02,289.104,34.964,1
C_005_03,183.021,35.989,1
C_006_02,240.072,35.640,1
C_007_02,286.043,34.693,1
C_007_01,402.148,34.187,1
C_007_03,404.048,36.590,1
C_006_01,315.786,36.750,1
C_006_03,409.778,34.543,1
C_008_01,439.546,35.002,1
C_008_02,266.072,36.246,1
C_008_03,160.460,36.915,1
C_009_02,160.982,35.090,1
C_009_01,340.075,36.052,1
C_008_04,541.973,34.615,1
C_009_03,232.132,34.716,1
C_011_01,328.809,34.271,1
C_012_01,321.224,35.742,1
C_013_01,271.579,34.577,1
C_013_02,297.148,36.554,1
C_010_02,591.482,70.320,1
C_010_01,681.119,71.290,1
C_017_01,275.470,33.959,1
C_015_01,193.285,36.363,1
C_016_02,162.164,34.522,1
C_018_03,189.364,35.583,1
C_018_04,252.230,34.449,1
C_019_01,497.173,68.671,1
C_020_01,381.558,68.028,1
C_014_02,251.410,34.612,1
C_014_01,243.113,36.394,1
C_018_02,181.970,34.056,1
C_015_03,557.413,69.886,1
C_015_02,173.015,33.810,1
C_017_02,262.883,34.158,1
C_018_01,171.786,34.016,1
C_016_01,285.488,68.320,1
C_024_01,206.386,34.511,1
C_023_01,223.945,36.535,1
C_025_02,271.813,35.870,1
C_023_02,259.206,34.333,1
C_021_01,241.880,33.955,1
